Конкурент,Линейка,Калорийность,Дней,Цена за день (руб),Общая цена (руб)
BeFit,EVERYDAILY,650.0,5.0,930,4650.0
BeFit,EVERYDAILY,650.0,7.0,664,4650.0
BeFit,DAILY,800.0,5.0,930,4650.0
BeFit,DAILY,800.0,7.0,664,4650.0
BeFit,EXTRALIGHT,900.0,5.0,1308,6540.0
BeFit,EXTRALIGHT PREMIUM,900.0,5.0,1870,9350.0
BeFit,EXTRALIGHT,900.0,7.0,1290,9030.0
BeFit,EXTRALIGHT PREMIUM,900.0,7.0,1747,12230.0
BeFit,LIGHT PREMIUM,1100.0,5.0,1920,9600.0
BeFit,GLUTEN LACTO FREE,1100.0,5.0,1570,7850.0
BeFit,LIGHT,1100.0,5.0,1380,6900.0
BeFit,LIGHT,1100.0,7.0,1341,9390.0
BeFit,GLUTEN LACTO FREE,1100.0,7.0,1504,10530.0
BeFit,LIGHT PREMIUM,1100.0,7.0,1891,13240.0
BeFit,VEGETARIAN,1200.0,5.0,1380,6900.0
BeFit,VEGAN,1200.0,5.0,1380,6900.0
BeFit,VEGETARIAN,1200.0,7.0,1341,9390.0
BeFit,VEGAN,1200.0,7.0,1341,9390.0
BeFit,FISH PREMIUM,1250.0,5.0,2030,10150.0
BeFit,СРЕДИЗЕМ&SHY;НОМОРСКАЯ ДИЕТА,1250.0,5.0,1640,8200.0
BeFit,FISH,1250.0,5.0,1640,8200.0
BeFit,FISH,1250.0,7.0,1504,10530.0
BeFit,FISH PREMIUM,1250.0,7.0,2090,14630.0
BeFit,СРЕДИЗЕМ&SHY;НОМОРСКАЯ ДИЕТА,1250.0,7.0,1504,10530.0
BeFit,NORMAL PREMIUM,1400.0,5.0,1920,9600.0
BeFit,NORMAL,1400.0,5.0,1488,7440.0
BeFit,NORMAL,1400.0,7.0,1447,10130.0
BeFit,NORMAL PREMIUM,1400.0,7.0,1891,13240.0
BeFit,ENERGY,1700.0,5.0,1620,8100.0
BeFit,ENERGY,1700.0,7.0,1500,10500.0
BeFit,BALANCE PREMIUM,1750.0,5.0,2130,10650.0
BeFit,BALANCE,1750.0,5.0,1680,8400.0
BeFit,BALANCE PREMIUM,1750.0,7.0,2061,14430.0
BeFit,BALANCE,1750.0,7.0,1641,11490.0
BeFit,STRONG PREMIUM,2100.0,5.0,2170,10850.0
BeFit,STRONG PREMIUM,2100.0,7.0,2032,14230.0
BeFit,ENERGY MAX,2250.0,5.0,1790,8950.0
BeFit,STRONG,2150.0,5.0,1680,8400.0
BeFit,ENERGY MAX,2250.0,7.0,1707,11950.0
BeFit,STRONG,2150.0,7.0,1642,11500.0
BeFit,SUPER STRONG PREMIUM,2300.0,5.0,2340,11700.0
BeFit,SUPER STRONG PREMIUM,2300.0,7.0,2114,14800.0
BeFit,SUPER STRONG,2400.0,5.0,1850,9250.0
BeFit,SUPER STRONG,2400.0,7.0,1750,12250.0
Grow Food,Grow Food,1000.0,6.0,1100,6600.0
Grow Food,Grow Food,1500.0,6.0,1210,7260.0
Grow Food,Grow Food,1750.0,6.0,1470,8820.0
Grow Food,Grow Food,2500.0,6.0,1960,11760.0
Level Kitchen,ПРО,900.0,2.0,1650,3300.0
Level Kitchen,ПРО,900.0,5.0,1650,8250.0
Level Kitchen,ПРО,900.0,6.0,1500,9000.0
Level Kitchen,ПРО,900.0,12.0,1458,17500.0
Level Kitchen,ПРО,1200.0,2.0,1950,3900.0
Level Kitchen,ПРО,1200.0,5.0,1950,9750.0
Level Kitchen,ПРО,1200.0,6.0,1816,10900.0
Level Kitchen,ПРО,1200.0,12.0,1658,19900.0
Level Kitchen,ПРО,1500.0,2.0,2250,4500.0
Level Kitchen,ПРО,1500.0,5.0,2250,11250.0
Level Kitchen,ПРО,1500.0,6.0,2000,12000.0
Level Kitchen,ПРО,1500.0,12.0,1916,23000.0
Level Kitchen,ФИТ,750.0,2.0,1800,3600.0
Level Kitchen,ФИТ,750.0,5.0,1600,8000.0
Level Kitchen,ФИТ,750.0,6.0,1416,8500.0
Level Kitchen,ФИТ,750.0,12.0,1283,15400.0
Level Kitchen,ФИТ,750.0,30.0,1196,35900.0
Level Kitchen,ФИТ,1000.0,2.0,1850,3700.0
Level Kitchen,ФИТ,1000.0,5.0,1640,8200.0
Level Kitchen,ФИТ,1000.0,6.0,1483,8900.0
Level Kitchen,ФИТ,1000.0,12.0,1400,16800.0
Level Kitchen,ФИТ,1000.0,30.0,1296,38900.0
Level Kitchen,ФИТ,1500.0,2.0,2000,4000.0
Level Kitchen,ФИТ,1500.0,5.0,1780,8900.0
Level Kitchen,ФИТ,1500.0,6.0,1566,9400.0
Level Kitchen,ФИТ,1500.0,12.0,1483,17800.0
Level Kitchen,ФИТ,1500.0,30.0,1330,39900.0
Level Kitchen,ФИТ,2000.0,2.0,2150,4300.0
Level Kitchen,ФИТ,2000.0,5.0,1900,9500.0
Level Kitchen,ФИТ,2000.0,6.0,1816,10900.0
Level Kitchen,ФИТ,2000.0,12.0,1566,18800.0
Level Kitchen,ФИТ,2000.0,30.0,1396,41900.0
Level Kitchen,ФИТ,2500.0,2.0,2300,4600.0
Level Kitchen,ФИТ,2500.0,5.0,2070,10350.0
Level Kitchen,ФИТ,2500.0,6.0,1900,11400.0
Level Kitchen,ФИТ,2500.0,12.0,1650,19800.0
Level Kitchen,ФИТ,2500.0,30.0,1496,44900.0
Level Kitchen,ХИТ,900.0,2.0,1825,3650.0
Level Kitchen,ХИТ,900.0,5.0,1620,8100.0
Level Kitchen,ХИТ,900.0,6.0,1450,8700.0
Level Kitchen,ХИТ,900.0,12.0,1358,16300.0
Level Kitchen,ХИТ,900.0,30.0,1230,36900.0
Level Kitchen,ХИТ,1200.0,2.0,1900,3800.0
Level Kitchen,ХИТ,1200.0,5.0,1720,8600.0
Level Kitchen,ХИТ,1200.0,6.0,1533,9200.0
Level Kitchen,ХИТ,1200.0,12.0,1441,17300.0
Level Kitchen,ХИТ,1200.0,30.0,1313,39400.0
Level Kitchen,ХИТ,1500.0,2.0,2000,4000.0
Level Kitchen,ХИТ,1500.0,5.0,1780,8900.0
Level Kitchen,ХИТ,1500.0,6.0,1566,9400.0
Level Kitchen,ХИТ,1500.0,12.0,1483,17800.0
Level Kitchen,ХИТ,1500.0,30.0,1330,39900.0
Level Kitchen,ХИТ,1800.0,2.0,2100,4200.0
Level Kitchen,ХИТ,1800.0,5.0,1820,9100.0
Level Kitchen,ХИТ,1800.0,6.0,1716,10300.0
Level Kitchen,ХИТ,1800.0,12.0,1525,18300.0
Level Kitchen,ХИТ,1800.0,30.0,1363,40900.0
Польза Диет,gentle_1200,1200.0,2.0,1595,3190.0
Польза Диет,gentle_1200,1200.0,4.0,1562,6250.0
Польза Диет,gentle_1200,1200.0,6.0,1525,9150.0
Польза Диет,gentle_1200,1200.0,12.0,1482,17790.0
Польза Диет,gentle_1200,1200.0,20.0,1457,29150.0
Польза Диет,gentle_1200,1200.0,28.0,1423,39850.0
Польза Диет,gentle_1200,1200.0,30.0,1419,42590.0
Польза Диет,gentle_1600,1600.0,2.0,1595,3190.0
Польза Диет,gentle_1600,1600.0,4.0,1562,6250.0
Польза Диет,gentle_1600,1600.0,6.0,1525,9150.0
Польза Диет,gentle_1600,1600.0,12.0,1482,17790.0
Польза Диет,gentle_1600,1600.0,20.0,1457,29150.0
Польза Диет,gentle_1600,1600.0,28.0,1423,39850.0
Польза Диет,gentle_1600,1600.0,30.0,1419,42590.0
Польза Диет,gentle_2000,2000.0,2.0,1695,3390.0
Польза Диет,gentle_2000,2000.0,4.0,1697,6790.0
Польза Диет,gentle_2000,2000.0,6.0,1681,10090.0
Польза Диет,gentle_2000,2000.0,12.0,1637,19650.0
Польза Диет,gentle_2000,2000.0,20.0,1624,32490.0
Польза Диет,gentle_2000,2000.0,28.0,1580,44250.0
Польза Диет,gentle_2000,2000.0,30.0,1578,47350.0
Польза Диет,diabet_1200,1200.0,2.0,1595,3190.0
Польза Диет,diabet_1200,1200.0,4.0,1562,6250.0
Польза Диет,diabet_1200,1200.0,6.0,1525,9150.0
Польза Диет,diabet_1200,1200.0,12.0,1482,17790.0
Польза Диет,diabet_1200,1200.0,20.0,1457,29150.0
Польза Диет,diabet_1200,1200.0,28.0,1423,39850.0
Польза Диет,diabet_1200,1200.0,30.0,1419,42590.0
Польза Диет,diabet_1800,1800.0,2.0,1695,3390.0
Польза Диет,diabet_1800,1800.0,4.0,1697,6790.0
Польза Диет,diabet_1800,1800.0,6.0,1681,10090.0
Польза Диет,diabet_1800,1800.0,12.0,1637,19650.0
Польза Диет,diabet_1800,1800.0,20.0,1624,32490.0
Польза Диет,diabet_1800,1800.0,28.0,1580,44250.0
Польза Диет,diabet_1800,1800.0,30.0,1578,47350.0
Польза Диет,gentle_lactosefree_1200,1200.0,2.0,1795,3590.0
Польза Диет,gentle_lactosefree_1200,1200.0,4.0,1722,6890.0
Польза Диет,gentle_lactosefree_1200,1200.0,6.0,1665,9990.0
Польза Диет,gentle_lactosefree_1200,1200.0,12.0,1595,19150.0
Польза Диет,gentle_lactosefree_1200,1200.0,20.0,1562,31250.0
Польза Диет,gentle_lactosefree_1200,1200.0,28.0,1478,41390.0
Польза Диет,gentle_lactosefree_1200,1200.0,30.0,1476,44290.0
Польза Диет,gentle_fish_1200,1200.0,2.0,1925,3850.0
Польза Диет,gentle_fish_1200,1200.0,4.0,1837,7350.0
Польза Диет,gentle_fish_1200,1200.0,6.0,1741,10450.0
Польза Диет,gentle_fish_1200,1200.0,12.0,1679,20150.0
Польза Диет,gentle_fish_1200,1200.0,20.0,1639,32790.0
Польза Диет,gentle_fish_1200,1200.0,28.0,1551,43450.0
Польза Диет,gentle_fish_1200,1200.0,30.0,1549,46490.0
Польза Диет,gentle_meat_1200,1200.0,2.0,1595,3190.0
Польза Диет,gentle_meat_1200,1200.0,4.0,1562,6250.0
Польза Диет,gentle_meat_1200,1200.0,6.0,1525,9150.0
Польза Диет,gentle_meat_1200,1200.0,12.0,1482,17790.0
Польза Диет,gentle_meat_1200,1200.0,20.0,1457,29150.0
Польза Диет,gentle_meat_1200,1200.0,28.0,1423,39850.0
Польза Диет,gentle_meat_1200,1200.0,30.0,1419,42590.0
Польза Диет,gentle_lactosefree_1600,1600.0,2.0,1795,3590.0
Польза Диет,gentle_lactosefree_1600,1600.0,4.0,1722,6890.0
Польза Диет,gentle_lactosefree_1600,1600.0,6.0,1665,9990.0
Польза Диет,gentle_lactosefree_1600,1600.0,12.0,1595,19150.0
Польза Диет,gentle_lactosefree_1600,1600.0,20.0,1562,31250.0
Польза Диет,gentle_lactosefree_1600,1600.0,28.0,1478,41390.0
Польза Диет,gentle_lactosefree_1600,1600.0,30.0,1476,44290.0
Польза Диет,gentle_fish_1600,1600.0,2.0,1925,3850.0
Польза Диет,gentle_fish_1600,1600.0,4.0,1837,7350.0
Польза Диет,gentle_fish_1600,1600.0,6.0,1741,10450.0
Польза Диет,gentle_fish_1600,1600.0,12.0,1679,20150.0
Польза Диет,gentle_fish_1600,1600.0,20.0,1639,32790.0
Польза Диет,gentle_fish_1600,1600.0,28.0,1551,43450.0
Польза Диет,gentle_fish_1600,1600.0,30.0,1549,46490.0
Польза Диет,gentle_meat_1600,1600.0,2.0,1595,3190.0
Польза Диет,gentle_meat_1600,1600.0,4.0,1562,6250.0
Польза Диет,gentle_meat_1600,1600.0,6.0,1525,9150.0
Польза Диет,gentle_meat_1600,1600.0,12.0,1482,17790.0
Польза Диет,gentle_meat_1600,1600.0,20.0,1457,29150.0
Польза Диет,gentle_meat_1600,1600.0,28.0,1423,39850.0
Польза Диет,gentle_meat_1600,1600.0,30.0,1419,42590.0
Польза Диет,gentle_lactosefree_2000,2000.0,2.0,1925,3850.0
Польза Диет,gentle_lactosefree_2000,2000.0,4.0,1797,7190.0
Польза Диет,gentle_lactosefree_2000,2000.0,6.0,1781,10690.0
Польза Диет,gentle_lactosefree_2000,2000.0,12.0,1712,20550.0
Польза Диет,gentle_lactosefree_2000,2000.0,20.0,1694,33890.0
Польза Диет,gentle_lactosefree_2000,2000.0,28.0,1655,46350.0
Польза Диет,gentle_lactosefree_2000,2000.0,30.0,1653,49590.0
Польза Диет,gentle_fish_2000,2000.0,2.0,2075,4150.0
Польза Диет,gentle_fish_2000,2000.0,4.0,1937,7750.0
Польза Диет,gentle_fish_2000,2000.0,6.0,1898,11390.0
Польза Диет,gentle_fish_2000,2000.0,12.0,1840,22090.0
Польза Диет,gentle_fish_2000,2000.0,20.0,1817,36350.0
Польза Диет,gentle_fish_2000,2000.0,28.0,1778,49790.0
Польза Диет,gentle_fish_2000,2000.0,30.0,1778,53350.0
Польза Диет,gentle_meat_2000,2000.0,2.0,1695,3390.0
Польза Диет,gentle_meat_2000,2000.0,4.0,1722,6890.0
Польза Диет,gentle_meat_2000,2000.0,6.0,1681,10090.0
Польза Диет,gentle_meat_2000,2000.0,12.0,1637,19650.0
Польза Диет,gentle_meat_2000,2000.0,20.0,1624,32490.0
Польза Диет,gentle_meat_2000,2000.0,28.0,1580,44250.0
Польза Диет,gentle_meat_2000,2000.0,30.0,1578,47350.0
VkusVill,БАЛАНС 1100,1100.0,6.0,1225,7350.0
VkusVill,БАЛАНС 1100,1100.0,8.0,1160,9280.0
VkusVill,БАЛАНС 1100,1100.0,10.0,1160,11600.0
VkusVill,БАЛАНС 1100,1100.0,14.0,1160,16240.0
VkusVill,БАЛАНС 1100,1100.0,20.0,1160,23200.0
VkusVill,БАЛАНС 1100,1100.0,30.0,1095,32850.0
VkusVill,БАЛАНС 1500,1500.0,6.0,1320,7920.0
VkusVill,БАЛАНС 1500,1500.0,8.0,1250,10000.0
VkusVill,БАЛАНС 1500,1500.0,10.0,1255,12550.0
VkusVill,БАЛАНС 1500,1500.0,14.0,1250,17500.0
VkusVill,БАЛАНС 1500,1500.0,20.0,1250,25000.0
VkusVill,БАЛАНС 1500,1500.0,30.0,1180,35400.0
VkusVill,БАЛАНС 1800,1800.0,6.0,1377,8262.0
VkusVill,БАЛАНС 1800,1800.0,8.0,1304,10432.0
VkusVill,БАЛАНС 1800,1800.0,10.0,1304,13040.0
VkusVill,БАЛАНС 1800,1800.0,14.0,1304,18256.0
VkusVill,БАЛАНС 1800,1800.0,20.0,1304,26080.0
VkusVill,БАЛАНС 1800,1800.0,30.0,1231,36930.0
VkusVill,БАЛАНС 2000,2000.0,6.0,1415,8490.0
VkusVill,БАЛАНС 2000,2000.0,8.0,1340,10720.0
VkusVill,БАЛАНС 2000,2000.0,10.0,1340,13400.0
VkusVill,БАЛАНС 2000,2000.0,14.0,1340,18760.0
VkusVill,БАЛАНС 2000,2000.0,20.0,1340,26800.0
VkusVill,БАЛАНС 2000,2000.0,30.0,1265,37950.0
